NumerKartyCzlonkowskiej,NumerSali,DataZajec,Godzina,Ocena,Komentarz
MCBAOS8378,7,2024-10-23,20:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCGRMA7751,8,2025-09-21,10:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCBAOS8378,5,2024-10-21,18:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCNEFO7895,4,2024-11-20,12:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCNEFO7895,1,2022-09-29,20:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCEMGR8096,5,2024-10-21,18:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCIDBA3843,3,2024-01-31,16:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCRYPI3379,1,2022-09-29,20:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCIDBA3843,2,2023-12-01,18:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCANDA1409,5,2025-04-14,16:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCIDBA3843,5,2024-10-21,18:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCARGO2827,7,2023-05-08,20:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCMALA5804,5,2025-08-22,10:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJELA6854,1,2022-09-29,20:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCWIWI7771,5,2024-10-21,18:00,,brak komentarza
MCARKA3268,2,2023-12-01,18:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCANDA1409,3,2025-03-28,06:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCPIHE7442,3,2022-10-29,06:00,,brak komentarza
MCGRMA7751,2,2023-03-07,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCALDU8256,4,2024-11-20,12:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCANDA1409,4,2022-03-23,20:00,,brak komentarza
MCGAKY5838,3,2022-10-29,06:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCKAJA4327,6,2025-04-27,12:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCERST2004,7,2024-10-23,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCELLI7149,7,2023-05-08,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCWIWI7771,8,2024-02-24,20:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAKI1955,2,2023-03-07,20:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCARGO2827,6,2025-04-27,12:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANDA1409,5,2025-08-22,10:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCERST2004,5,2025-08-22,10:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMAGA1396,1,2025-10-25,10:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCPIHE7442,8,2022-01-02,18:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCALDU8256,1,2025-10-25,10:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCGAKY5838,2,2023-03-07,20:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMIFE5496,7,2023-05-08,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCIDBA3843,5,2022-05-09,20:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCINDA9777,4,2024-11-26,06:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCALDU8256,8,2024-02-24,20:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCELLI7149,4,2024-11-26,06:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANDA1409,1,2025-10-25,10:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCELLI7149,8,2024-02-24,20:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCGAKY5838,3,2025-03-28,06:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCGRMA7751,5,2022-05-09,20:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCWIFR7199,6,2025-04-27,12:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCGUWO5365,8,2024-09-05,12:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCINDA9777,7,2023-05-08,20:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCARKA3268,6,2024-03-03,08:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCJELA6854,3,2024-06-15,06:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
