NumerPracownika,Imie,Nazwisko,Specjalizacja
WNROKU2029,Robert,Kusa,Zumba
WNTODZ3043,Tola,Dziduch,Zumba
WNAGSY1783,Agnieszka,Syroka,Fitness
WNADLU6066,Adrian,Łukasz,Cardio
WNALKO5440,Aleksander,Kolbusz,Yoga
WNADLY7864,Adrian,Łyp,Cardio
WNAUKR6038,Aurelia,Kręcisz,Fitness
WNKRSL9751,Krzysztof,Słupek,Yoga
WNKALY4071,Kajetan,Łyś,Zumba
WNSTNI4277,Stanisław,Nieradko,Zumba
WNPRPA8232,Przemysław,Pacholczak,Yoga
WNBALA6788,Bartek,Łapot,Stretch
WNSATY3171,Sandra,Tyczka,Zumba
WNANZB7008,Anita,Zbylut,Fitness
WNIDJO2979,Ida,Joszko,Pilates
WNANKS8356,Andrzej,Księżak,Fitness
WNJACH1875,Jan,Chmara,Siłownia
WNKOJE5368,Konstanty,Jeżyna,Cardio
WNLIMI4595,Lidia,Milewczyk,Pilates
WNALSZ7004,Albert,Szczypiór,Cross
WNADDE4609,Adrian,Deptuch,Pilates
WNMADR4353,Maks,Drgas,Stretch
WNURKO3923,Urszula,Komisarczyk,Cross
WNTYPL1960,Tymoteusz,Płodzień,Cardio
WNAUSZ3191,Aurelia,Szott,Stretch
WNADKA2679,Adam,Kazubek,Cross
WNSOCH2662,Sonia,Chaber,Siłownia
WNRYRO1791,Ryszard,Rolek,Zumba
