NumerKartyCzlonkowskiej,NumerSali,DataZajec,Godzina,Ocena,Komentarz
MCBIUS2720,8,2025-10-11,20:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKOKL4817,8,2024-08-30,16:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCMAGO2945,8,2023-12-25,06:00,,brak komentarza
MCNARO3680,5,2022-05-29,20:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCKAPA6704,4,2024-07-31,16:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCELBI8129,4,2024-07-31,16:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMADE7641,7,2024-07-05,06:00,,brak komentarza
MCKAPA6704,1,2025-04-01,12:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMAKL4879,4,2025-05-25,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCLEKU5386,8,2023-11-02,16:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCJOKU9075,3,2025-06-30,12:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCANEK8614,5,2023-05-22,20:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCPIME7311,8,2023-06-25,10:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCKOZO2811,4,2024-07-31,16:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCMOCE7714,2,2025-04-04,18:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCLEKU5386,3,2025-09-19,18:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCAUDR7213,8,2024-08-30,16:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCIGWA4480,6,2024-12-11,06:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMIPA1810,7,2024-07-05,06:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCLIKA5395,2,2024-06-28,20:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCKASI9276,5,2022-05-29,20:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCIGWA4480,4,2022-11-18,10:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCELBI8129,5,2023-05-22,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCBIUS2720,2,2025-04-04,18:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCIGWA4480,5,2022-05-29,20:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCBIUS2720,8,2023-12-25,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCGALI8305,2,2025-04-04,18:00,,brak komentarza
MCDAFI7093,4,2024-07-31,16:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCELBI8129,4,2022-01-23,18:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCELBI8129,2,2025-04-04,18:00,,brak komentarza
MCKLKU7759,4,2025-05-25,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMAGO2945,1,2025-04-01,12:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCJOKU9075,2,2025-08-16,10:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCKASI9276,1,2022-06-08,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCGALI8305,6,2025-07-23,12:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCPIMA4013,2,2025-08-16,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCDAFI7093,6,2025-07-23,12:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCANEK8614,2,2023-07-26,16:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCDAFI7093,1,2022-06-08,20:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANHY3324,5,2024-01-20,08:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCLEKU5386,5,2022-05-29,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMIPO6539,2,2023-07-26,16:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKAPA6704,8,2023-06-25,10:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCKOZO2811,3,2025-09-19,18:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCLIKA5395,5,2023-05-22,20:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCIGWA4480,5,2024-01-20,08:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMOCE7714,8,2025-10-11,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCNARO3680,8,2023-06-25,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCMAGO2945,4,2025-05-25,20:00,,brak komentarza
MCLIKA5395,1,2025-04-01,12:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCBIUS2720,7,2024-04-22,20:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCKLKU7759,6,2025-07-23,12:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCKASI9276,6,2025-07-23,12:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCKRZA3670,4,2022-01-23,18:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
