NumerKartyCzlonkowskiej,ZajeciaID,DataZapisu,StatusZapisu,Obecny
MCBIUS2720,2,2025-10-09,Aktywny,1
MCKOKL4817,6,2024-08-07,Aktywny,1
MCMAGO2945,26,2023-12-12,Aktywny,1
MCNARO3680,17,2022-05-02,Aktywny,1
MCKAPA6704,7,2024-07-22,Aktywny,1
MCELBI8129,7,2024-07-30,Aktywny,1
MCMADE7641,24,2024-06-11,Aktywny,1
MCKAPA6704,28,2025-03-17,Aktywny,1
MCAUDR7213,2,2025-09-17,Anulowany,0
MCMAKL4879,23,2025-05-17,Aktywny,1
MCLEKU5386,13,2023-10-17,Aktywny,1
MCJOKU9075,27,2025-06-22,Aktywny,1
MCANEK8614,30,2023-05-17,Aktywny,1
MCPIME7311,18,2023-06-24,Aktywny,1
MCKOZO2811,7,2024-07-04,Aktywny,1
MCMOCE7714,1,2025-03-21,Aktywny,1
MCLEKU5386,25,2025-08-22,Aktywny,1
MCAUDR7213,6,2024-08-28,Aktywny,1
MCIGWA4480,16,2024-11-12,Aktywny,1
MCMIPA1810,24,2024-07-02,Aktywny,1
MCLIKA5395,20,2024-06-15,Aktywny,1
MCKASI9276,17,2022-05-23,Aktywny,1
MCIGWA4480,19,2022-10-19,Aktywny,1
MCELBI8129,30,2023-05-07,Aktywny,1
MCFIPI8666,27,2025-06-09,Aktywny,0
MCBIUS2720,1,2025-03-13,Aktywny,1
MCIGWA4480,17,2022-05-23,Aktywny,1
MCBIUS2720,26,2023-12-04,Aktywny,1
MCGALI8305,1,2025-03-14,Aktywny,1
MCDAFI7093,7,2024-07-28,Aktywny,1
MCELBI8129,10,2022-01-17,Aktywny,1
MCELBI8129,1,2025-03-24,Aktywny,1
MCKASI9276,9,2024-03-25,Aktywny,0
MCKLKU7759,23,2025-05-06,Aktywny,1
MCPIMA4013,6,2024-08-17,Aktywny,0
MCMAGO2945,28,2025-03-20,Aktywny,1
MCJOKU9075,22,2025-08-15,Aktywny,1
MCKASI9276,11,2022-05-29,Aktywny,1
MCGALI8305,5,2025-07-11,Aktywny,1
MCPIMA4013,22,2025-08-10,Aktywny,1
MCDAFI7093,5,2025-06-28,Aktywny,1
MCANEK8614,4,2023-07-23,Aktywny,1
MCDAFI7093,11,2022-05-31,Aktywny,1
MCANHY3324,14,2024-01-01,Aktywny,1
MCLEKU5386,17,2022-05-07,Aktywny,1
MCMIPO6539,4,2023-07-16,Aktywny,1
MCKAPA6704,18,2023-05-31,Aktywny,1
MCKOZO2811,25,2025-09-01,Aktywny,1
MCLIKA5395,30,2023-05-04,Aktywny,1
MCIGWA4480,14,2024-01-11,Aktywny,1
MCANHY3324,27,2025-06-11,Aktywny,0
MCMOCE7714,2,2025-10-10,Aktywny,1
MCNARO3680,18,2023-06-02,Aktywny,1
MCMAGO2945,23,2025-05-10,Aktywny,1
MCLIKA5395,28,2025-03-20,Aktywny,1
MCBIUS2720,9,2024-03-27,Aktywny,1
MCKLKU7759,5,2025-07-10,Aktywny,1
MCKASI9276,5,2025-07-09,Aktywny,1
MCKRZA3670,10,2022-01-19,Aktywny,1
MCANHY3324,29,2022-04-09,Aktywny,1
